Date,Open,High,Low,Close,Adj_Close,Volume
2009/1/2,8772.25,9065.280273,8760.780273,9034.69043,9034.69043,213700000
2009/1/5,9027.129883,9034.370117,8892.360352,8952.889648,8952.889648,233760000
2009/1/6,8954.570313,9088.05957,8940.950195,9015.099609,9015.099609,215410000
2009/1/7,8996.94043,8996.94043,8719.919922,8769.700195,8769.700195,266710000
2009/1/8,8769.94043,8770.019531,8651.19043,8742.459961,8742.459961,226620000
2009/1/9,8738.799805,8769.620117,8576.959961,8599.179688,8599.179688,204300000
2009/1/12,8599.259766,8602.599609,8421.080078,8473.969727,8473.969727,273550000
2009/1/13,8474.610352,8522.080078,8376.879883,8448.55957,8448.55957,304050000
2009/1/14,8446.009766,8446.25,8140.720215,8200.139648,8200.139648,355050000
2009/1/15,8196.240234,8286.160156,7995.129883,8212.490234,8212.490234,436660000
2009/1/16,8215.669922,8341.200195,8109.339844,8281.219727,8281.219727,439360000
2009/1/20,8279.629883,8291.980469,7939.930176,7949.089844,7949.089844,419200000
2009/1/21,7949.169922,8243.549805,7936.189941,8228.099609,8228.099609,410040000
2009/1/22,8224.429688,8224.830078,7957.140137,8122.799805,8122.799805,420040000
2009/1/23,8108.790039,8152.589844,7909.029785,8077.560059,8077.560059,370510000
2009/1/26,8078.040039,8231.679688,8023.160156,8116.029785,8116.029785,316720000
2009/1/27,8117.390137,8225.790039,8083.140137,8174.72998,8174.72998,247750000
2009/1/28,8175.930176,8405.870117,8175.930176,8375.450195,8375.450195,357940000
2009/1/29,8373.05957,8373.139648,8137.939941,8149.009766,8149.009766,247450000
2009/1/30,8149.009766,8195.759766,7961.919922,8000.859863,8000.859863,303160000
2009/2/2,8000.620117,8000.620117,7867.370117,7936.75,7936.75,293890000
2009/2/3,7936.990234,8111.569824,7905.52002,8078.359863,8078.359863,313090000
2009/2/4,8070.319824,8162.149902,7929.259766,7956.660156,7956.660156,345520000
2009/2/5,7954.830078,8107.830078,7845.310059,8063.069824,8063.069824,390980000
2009/2/6,8056.379883,8312.370117,8052.240234,8280.589844,8280.589844,396380000
2009/2/9,8281.379883,8315.070313,8196.240234,8270.870117,8270.870117,289280000
2009/2/10,8269.360352,8269.44043,7848.740234,7888.879883,7888.879883,449890000
2009/2/11,7887.049805,7983.740234,7852.160156,7939.529785,7939.529785,270280000
2009/2/12,7931.970215,7938.819824,7693.97998,7932.759766,7932.759766,331960000
2009/2/13,7933,7970.839844,7840.450195,7850.410156,7850.410156,251960000
2009/2/17,7845.629883,7845.629883,7551.009766,7552.600098,7552.600098,332850000
2009/2/18,7546.350098,7617.759766,7479.970215,7555.629883,7555.629883,268220000
2009/2/19,7555.22998,7614.970215,7447.549805,7465.950195,7465.950195,301480000
2009/2/20,7461.490234,7469.290039,7249.470215,7365.669922,7365.669922,584900000
2009/2/23,7365.990234,7441.02002,7105.939941,7114.779785,7114.779785,406150000
2009/2/24,7115.339844,7378.970215,7114.299805,7350.939941,7350.939941,468010000
2009/2/25,7349.580078,7404.939941,7156.680176,7270.890137,7270.890137,450270000
2009/2/26,7269.060059,7402.310059,7173.560059,7182.080078,7182.080078,321300000
2009/2/27,7180.970215,7195.459961,7033.620117,7062.930176,7062.930176,667950000
2009/3/2,7056.47998,7058.950195,6755.169922,6763.290039,6763.290039,568670000
2009/3/3,6764.810059,6855.290039,6705.629883,6726.02002,6726.02002,445280000
2009/3/4,6726.5,6979.220215,6726.419922,6875.839844,6875.839844,464830000
2009/3/5,6874.009766,6874.009766,6544.100098,6594.439941,6594.439941,509770000
2009/3/6,6595.160156,6755.169922,6469.950195,6626.939941,6626.939941,425170000
2009/3/9,6625.740234,6709.609863,6516.859863,6547.049805,6547.049805,365990000
2009/3/10,6547.009766,6926.490234,6546.609863,6926.490234,6926.490234,640020000
2009/3/11,6923.129883,7015.060059,6867.549805,6930.399902,6930.399902,524430000
2009/3/12,6932.390137,7184.709961,6872.25,7170.060059,7170.060059,488690000
2009/3/13,7167.350098,7242.620117,7105.859863,7223.97998,7223.97998,479010000
2009/3/16,7225.330078,7392.910156,7206.850098,7216.970215,7216.970215,586970000
2009/3/17,7218,7396.810059,7172.049805,7395.700195,7395.700195,391880000
2009/3/18,7395.700195,7571.640137,7257.27002,7486.580078,7486.580078,584110000
2009/3/19,7489.680176,7548.459961,7369.259766,7400.799805,7400.799805,559920000
2009/3/20,7402.310059,7460.930176,7257.830078,7278.379883,7278.379883,672950000
2009/3/23,7279.25,7780.720215,7278.779785,7775.859863,7775.859863,515600000
2009/3/24,7773.470215,7796.569824,7646.990234,7659.970215,7659.970215,379670000
2009/3/25,7659.810059,7863.629883,7550.060059,7749.810059,7749.810059,454090000
2009/3/26,7752.359863,7931.330078,7752.279785,7924.560059,7924.560059,397260000
2009/3/27,7922.569824,7922.569824,7735.950195,7776.180176,7776.180176,323650000
2009/3/30,7773.310059,7773.390137,7437.589844,7522.02002,7522.02002,383260000
2009/3/31,7523.77002,7725.359863,7523.450195,7608.919922,7608.919922,399840000
2009/4/1,7606.129883,7789,7483.870117,7761.600098,7761.600098,361340000
2009/4/2,7763.990234,8075.72998,7763.990234,7978.080078,7978.080078,442820000
2009/4/3,7980.629883,8019.5,7897.240234,8017.589844,8017.589844,308210000
2009/4/6,8016.160156,8016.160156,7862.200195,7975.850098,7975.850098,247400000
2009/4/7,7968.919922,7969.080078,7762.080078,7789.560059,7789.560059,276920000
2009/4/8,7788.680176,7887.52002,7750.850098,7837.109863,7837.109863,255350000
2009/4/9,7839.890137,8087.279785,7839.890137,8083.379883,8083.379883,462060000
2009/4/13,8082.02002,8113.410156,7963.75,8057.810059,8057.810059,424250000
2009/4/14,8057.410156,8057.410156,7902.259766,7920.180176,7920.180176,513010000
2009/4/15,7914.919922,8041.319824,7870.47998,8029.620117,8029.620117,413280000
2009/4/16,8029.140137,8168.120117,7962.709961,8125.430176,8125.430176,359470000
2009/4/17,8125.430176,8190.660156,8086.879883,8131.330078,8131.330078,537670000
2009/4/20,8128.939941,8128.939941,7840.450195,7841.72998,7841.72998,453660000
2009/4/21,7841.72998,7979.200195,7791.950195,7969.560059,7969.560059,424030000
2009/4/22,7964.779785,8044.830078,7868.009766,7886.569824,7886.569824,387030000
2009/4/23,7886.810059,7979.439941,7804.209961,7957.060059,7957.060059,327240000
